"id","postcode","woonplaats","alternatieve_schrijfwijzen","gemeente","provincie","netnummer","latitude","longitude","soort","zipcode"
3392,7705,"Drogteropslagen","","De Wolden","Drenthe",523,52.6224364,6.4977465,"Adres",NA
3408,7740,"Coevorden","","Coevorden","Drenthe",524,52.6668238,6.7438055,"Postbus",NA
3409,7741,"Coevorden","","Coevorden","Drenthe",524,52.6582298,6.6989247,"Adres",NA
3410,7742,"Coevorden","","Coevorden","Drenthe",524,52.6551202,6.7535997,"Adres",NA
3411,7751,"Dalen","","Coevorden","Drenthe",524,52.6994032,6.7567822,"Adres",NA
3412,7753,"Dalerpeel","","Coevorden","Drenthe",524,52.6795361,6.6596398,"Adres",NA
3413,7754,"Wachtum","","Coevorden","Drenthe",524,52.7236641,6.7495309,"Adres",NA
3414,7755,"Dalerveen","","Coevorden","Drenthe",524,52.6950496,6.8099187,"Adres",NA
3415,7756,"Stieltjeskanaal","","Coevorden","Drenthe",524,52.6748679,6.8258857,"Adres",NA
3416,7760,"Schoonebeek","","Emmen","Drenthe",524,52.6621731,6.8828506,"Postbus",NA
3417,7761,"Schoonebeek","","Emmen","Drenthe",524,52.6626006,6.8838388,"Adres",NA
3418,7764,"Zandpol","","Emmen","Drenthe",591,52.6942061,6.8665361,"Adres",NA
3419,7765,"Weiteveen","","Emmen","Drenthe",524,52.6714283,6.9988843,"Adres",NA
3420,7766,"Nieuw-Schoonebeek","NIEUW SCHOONEBEEK","Emmen","Drenthe",524,52.646371,6.9859122,"Adres",NA
3447,7800,"Emmen","","Emmen","Drenthe",591,52.7845481,6.8930276,"Postbus",NA
3448,7801,"Emmen","","Emmen","Drenthe",591,52.7845481,6.8930276,"Postbus",NA
3449,7811,"Emmen","","Emmen","Drenthe",591,52.7800234,6.8941536,"Adres",NA
3450,7812,"Emmen","","Emmen","Drenthe",591,52.7628944,6.8881123,"Adres",NA
3451,7813,"Emmen","","Emmen","Drenthe",591,52.7551148,6.8600259,"Adres",NA
3452,7814,"Emmen","","Emmen","Drenthe",591,52.7881505,6.8700255,"Adres",NA
3453,7815,"Emmen","","Emmen","Drenthe",591,52.8000081,6.8974268,"Adres",NA
3454,7821,"Emmen","","Emmen","Drenthe",591,52.7669929,6.9100667,"Adres",NA
3455,7822,"Emmen","","Emmen","Drenthe",591,52.7900261,6.9071365,"Adres",NA
3456,7823,"Emmen","","Emmen","Drenthe",591,52.7955483,6.9277324,"Adres",NA
3457,7824,"Emmen","","Emmen","Drenthe",591,52.781689,6.9347107,"Adres",NA
